TWP_PCT,Biden,Trump,Hawkins,La Riva,Carroll,Jorgensen
Warren 317,540,391,5,1,4,17
Warren 318,601,441,7,0,6,20
Warren 319,568,385,7,1,4,14
Warren 320,594,369,3,2,1,6
Warren 321,463,297,5,1,1,4
Warren 322,541,315,5,1,2,12
Warren 323,163,172,2,1,0,5
Warren 324,650,312,5,1,3,8
Warren 325,718,247,2,1,1,7
Warren 326,623,172,2,1,2,6
Warren 327,551,121,0,2,2,5
Wauconda 328,222,217,0,0,0,6
Wauconda 329,850,822,4,0,2,28
Wauconda 330,485,466,5,0,2,14
Wauconda 331,224,237,2,0,0,11
Wauconda 332,264,367,0,1,2,8
Wauconda 333,278,296,3,1,2,7
Wauconda 334,360,319,2,0,0,6
Wauconda 335,329,278,7,0,0,5
Wauconda 336,372,371,3,1,3,21
Wauconda 337,426,366,10,4,0,11
Wauconda 338,462,430,8,1,1,7
Wauconda 339,491,450,7,0,1,12
Wauconda 340,292,359,6,2,1,8
Wauconda 341,302,323,1,0,0,12
Wauconda 342,375,407,5,1,3,10
Waukegan 343,282,213,3,0,1,4
Waukegan 344,636,215,3,2,1,4
Waukegan 345,468,174,1,1,1,3
Waukegan 346,454,273,4,1,0,16
Waukegan 347,342,135,3,0,1,3
Waukegan 348,566,263,7,0,1,6
Waukegan 349,594,179,3,3,3,3
Waukegan 350,560,211,5,2,1,5
Waukegan 351,512,199,3,7,1,3
Waukegan 352,433,168,4,1,1,3
Waukegan 353,460,99,1,5,2,4
Waukegan 354,341,69,4,3,2,5
Waukegan 355,460,191,3,1,1,7
Waukegan 356,761,180,8,6,1,4
Waukegan 357,598,115,5,2,2,4
Waukegan 358,467,71,5,3,3,3
Waukegan 359,567,225,4,3,1,11
Waukegan 360,528,119,7,2,1,9
Waukegan 361,515,112,3,2,1,4
Waukegan 362,376,109,1,4,2,5
Waukegan 363,589,171,6,4,4,11
Waukegan 364,585,164,7,4,1,8
Waukegan 365,429,94,5,2,1,6
Waukegan 366,504,123,4,5,4,5
Waukegan 367,402,101,2,8,0,2
Waukegan 368,337,144,2,3,0,2
Waukegan 369,419,99,2,1,0,5
Waukegan 370,615,119,5,2,2,2
Waukegan 371,435,61,4,4,4,4
Waukegan 372,441,127,3,3,1,9
Waukegan 373,526,80,5,5,1,3
Waukegan 374,562,68,11,4,3,3
Waukegan 375,488,48,4,2,1,2
Waukegan 376,347,48,4,1,1,5
Waukegan 377,437,39,3,1,4,3
Waukegan 378,334,32,1,0,1,1
Waukegan 379,407,55,1,0,3,3
West Deerfield 380,356,394,2,0,0,4
West Deerfield 381,321,287,2,0,0,11
West Deerfield 382,306,361,0,0,0,12
West Deerfield 383,365,296,0,0,1,12
West Deerfield 384,372,375,4,0,2,23
